,num_1,x_mask,y_mask,width_mask,delta_y_mask,length_right_mask,length_left_mask,width,delta_y,length_right,length_left,selmag_1,Line,errselmag_1,line_coord_sky,pointing,Note,quadrant,zflg,norm,epoch,photoMask_1,tsr,ssr,classFlag_1,id_IAU_2,num_2,id_T07,alpha_2,delta_2,selmag_2,errselmag_2,u,g,r,i,z,erru,errg,errr,erri,errz,u_T07,g_T07,r_T07,i_T07,iy_T07,z_T07,erru_T07,errg_T07,errr_T07,erri_T07,erriy_T07,errz_T07,K_video,Ks,FUV,errK_video,errKs,errFUV,errNUV,DeltaUG,DeltaGR,DeltaRI,ebv,r2,r2_T07,classFlag_2,photoMask_2,spectroMask,Separation_1,TYPED_ID,ANG_DIST,MAIN_ID,OTYPE_S,distance_gpe_deg,z_mpc,y_mpc,x_mpc,ra,dec,RA,DEC,NUV,id_IAU_1,Separation,zspec,redshift,SELECTED,symbol,Type,url_id,url,Impact parameter (kpc),size
26815,b'103200737',-0.14086987813327456,2.202232672914516,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.3954,1215.67,0.0284,-5.81,b'W1P204',100000.0,2,3.4,1.583,2,1,0.6865062,0.9393939,1,b'VIPERS 103200737',b'103200737',1870656,32.2166499,-5.6978863,22.3954,0.0284,24.1338,23.6191,23.0308,22.3954,22.037,0.0655,0.0333,0.0499,0.0284,0.0472,24.14,23.671,23.045,22.426,-99.0,22.176,0.059,0.028,0.03,0.025,-99.0,0.04,-99.99,21.363,-99.0,-99.99,0.066,-99.0,0.115,0.0,-0.056,-0.003,0.02423,2.87,2.75,1,1,1,0.0,,,,,,,,,,,32.2166499,-5.6978863,24.073,b'VIPERS 103200737',,0.6379,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103200737'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.2166499d-5.6978863d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,24.27533
26847,b'103202362',-2.4161801612117317,2.474701933436038,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.0506,1215.67,0.0123,-5.79,b'W1P203',1.0555918216705322,1,2.4,4.4352,2,1,0.5918048,0.9292929,1,b'VIPERS 103202362',b'103202362',1872234,32.162534,-5.6914294,21.0506,0.0123,22.7831,22.1958,21.5672,21.0506,20.8089,0.0283,0.0136,0.0194,0.0123,0.0251,22.776,22.257,21.639,21.07,-99.0,20.966,0.025,0.011,0.013,0.011,-99.0,0.021,-99.99,20.139,-99.0,-99.99,0.037,-99.0,0.061,0.0,-0.056,-0.003,0.02374,4.19,4.15,1,1,1,0.0,,,,,,,,,,,32.162534,-5.6914294,23.138,b'VIPERS 103202362',,0.643,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103202362'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1625340d-5.6914294d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,34.363037
26852,b'103202729',0.3564024966108478,2.552727300401704,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,20.4137,1215.67,0.0081,-5.8,b'W1P204',1.0013877153396606,2,4.4,5.6235,2,1,0.8887481,1.0,1,b'VIPERS 103202729',b'103202729',1873015,32.2284759,-5.6895905,20.4137,0.0081,23.8342,22.4906,21.3656,20.4137,19.95,0.0895,0.0215,0.0197,0.0081,0.0126,23.811,22.54,21.424,20.432,-99.0,20.09,0.078,0.018,0.013,0.007,-99.0,0.011,-99.99,18.509,-99.0,-99.99,0.009,-99.0,0.215,0.0,-0.056,-0.003,0.02413,5.19,5.18,1,1,1,0.0,,,,,,,,,,,32.2284759,-5.6895905,24.466,b'VIPERS 103202729',,0.6363,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103202729'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.2284759d-5.6895905d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,20.55716
26917,b'103205780',-4.0335013796432975,3.0971190895266543,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.252,1215.67,0.0415,-5.78,b'W1P171',1000000.0,4,2.5,5.2788,2,1,0.5066126,0.88,1,b'VIPERS 103205780',b'103205780',1875526,32.1240501,-5.6766783,22.252,0.0415,23.7069,23.1409,22.7009,22.252,22.0313,0.0728,0.0365,0.0631,0.0415,0.0871,23.633,23.234,22.752,22.308,-99.0,22.235,0.05,0.026,0.032,0.03,-99.0,0.061,-99.99,21.507,-99.0,-99.99,0.113,-99.0,0.144,0.0,-0.056,-0.003,0.02279,4.97,4.76,1,1,1,0.0,,,,,,,,,,,32.1240501,-5.6766783,24.181,b'VIPERS 103205780',,0.6432,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103205780'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1240501d-5.6766783d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,23.222763
26954,b'103207532',-1.020015801453887,3.4102904904238884,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,22.3998,1215.67,0.0387,-5.77,b'W1P172',1000000.0,3,4.5,2.0773,2,1,0.7909681,0.98,1,b'VIPERS 103207532',b'103207532',1877180,32.1957408,-5.6692887,22.3998,0.0387,23.3222,23.0694,22.6313,22.3998,22.2935,0.0483,0.0292,0.0608,0.0387,0.1005,23.294,23.124,22.709,22.39,-99.0,22.539,0.04,0.023,0.034,0.029,-99.0,0.085,-99.99,21.639,-99.0,-99.99,0.11,-99.0,0.065,0.0,-0.056,-0.003,0.0241,3.81,3.81,1,1,1,0.0,,,,,,,,,,,32.1957408,-5.6692887,23.355,b'VIPERS 103207532',,0.642,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103207532'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1957408d-5.6692887d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,31.86603
27002,b'103210404',-3.399075153997561,3.875618770406978,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.8453,820.0,0.0228,-5.81,b'W1P171',100000.0,4,9.4,5.2158,2,1,0.6148866,0.6060606,1,b'VIPERS 103210404',b'103210404',1879886,32.1391437,-5.6582513,21.8453,0.0228,22.3813,22.1055,22.1168,21.8453,21.4747,0.0178,0.0115,0.0299,0.0228,0.0415,22.362,22.189,22.159,21.887,-99.0,21.571,0.017,0.01,0.02,0.02,-99.0,0.033,-99.99,20.961,-99.0,-99.99,0.087,-99.0,0.086,0.0,-0.056,-0.003,0.02328,4.01,3.9,1,1,1,0.0,,,,,,,,,,,32.1391437,-5.6582513,23.842,b'VIPERS 103210404',,1.394,,0,pentagon,LyC,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103210404'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.1391437d-5.6582513d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,26.604973
27117,b'103217836',4.912046724380449,5.145794321566988,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,20.592,1215.67,0.0119,-5.69,b'W1P172',100000.0,4,4.5,7.5983,2,1,0.3058095,0.979798,1,b'VIPERS 103217836',b'103217836',1886943,32.3368831,-5.6281332,20.592,0.0119,22.9383,22.319,21.3533,20.592,20.3787,0.0461,0.0228,0.0245,0.0119,0.0242,22.903,22.363,21.472,20.591,-99.0,20.41,0.038,0.018,0.016,0.01,-99.0,0.018,-99.99,19.26,-99.0,-99.99,0.024,-99.0,0.091,0.0,-0.056,-0.003,0.02309,6.35,6.49,1,1,1,0.0,,,,,,,,,,,32.3368831,-5.6281332,23.336,b'VIPERS 103217836',,0.6629,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103217836'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.3368831d-5.6281332d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,32.08089
27130,b'103218492',11.985736813186227,5.257080537038755,76.05,0.0,204.75,204.75,0.0018055555555555555,0.0,0.004861111111111111,0.004861111111111111,21.2662,1215.67,0.0138,-5.73,b'W1P173',1000000.0,3,4.5,2.061,2,1,0.2811833,0.99,1,b'VIPERS 103218492',b'103218492',1887486,32.5057281,-5.6252093,21.2662,0.0138,22.3407,22.0842,21.6377,21.2662,21.2848,0.0168,0.0115,0.0213,0.0138,0.0341,22.312,22.156,21.691,21.293,-99.0,21.374,0.016,0.01,0.014,0.012,-99.0,0.029,-99.99,20.938,-99.0,-99.99,0.069,-99.0,0.03,0.0,-0.056,-0.003,0.02266,3.78,3.75,1,1,1,0.0,,,,,,,,,,,32.5057281,-5.6252093,22.348,b'VIPERS 103218492',,0.6431,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103218492'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.5057281d-5.6252093d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,44.24911
27140,b'103219161',3.7810693318928323,5.404865811694566,76.05,0.0,702.0,204.75,0.0018055555555555555,0.0,0.016666666666666666,0.004861111111111111,21.7171,1033.0,0.0239,-5.72,b'W1P172',1.0273469686508179,4,4.5,2.9699,2,1,0.4050011,0.9494949,1,b'VIPERS 103219161',b'103219161',1888127,32.3099606,-5.6220169,21.7171,0.0239,22.884,22.5228,22.265,21.7171,21.3713,0.0274,0.0171,0.0328,0.0239,0.0405,22.874,22.599,22.313,21.702,-99.0,21.502,0.025,0.015,0.021,0.02,-99.0,0.034,-99.99,20.688,-99.0,-99.99,0.045,-99.0,0.094,0.0,-0.056,-0.003,0.02318,3.77,3.78,1,1,1,0.0,,,,,,,,,,,32.3099606,-5.6220169,23.83,b'VIPERS 103219161',,0.9368,,0,octagon,OVI,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103219161'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.3099606d-5.6220169d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,26.7289
27146,b'103219293',4.235725408200157,5.42605599856655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5773,1215.67,0.0108,-5.7,b'W1P172',1.0455918312072754,4,4.2,6.4439,2,1,0.6757412,0.99,1,b'VIPERS 103219293',b'103219293',1888665,32.3207838,-5.6215058,20.5773,0.0108,23.3411,22.3575,21.4319,20.5773,20.2321,0.0608,0.0218,0.0242,0.0108,0.0192,23.267,22.447,21.502,20.612,-99.0,20.355,0.049,0.018,0.015,0.009,-99.0,0.015,-99.99,18.852,-99.0,-99.99,0.013,-99.0,0.072,0.0,-0.056,-0.003,0.02311,5.83,5.8,1,1,1,0.0,,,,,,,,,,,32.3207838,-5.6215058,23.383,b'VIPERS 103219293',,0.6563,,0,circle,Lya,<a href='http://simbad.u-strasbg.fr/simbad/sim-id?Ident=VIPERS 103219293'>·</a>,<a href='http://simbad.u-strasbg.fr/simbad/sim-coo?Coord=32.3207838d-5.6215058d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin'>·</a>,-9223372036854775808,31.550695
