col0,RA,DEC,Z,fuv_mag,nuv_mag,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected
4,0.28894000000000003,1.44459,0.725,0,25,./qmult1/,10.74985226874078,0.24703836059371156,2.4977267305708124,0.47272727,0.075,10.842984717382402,0.24916589410736023,10.797451123299936,0.2478818550805837
5,0.20073,1.5538,0.664,0,25,./qmult1/,7.8886694558317165,5.43208530290049,2.639170095956739,0.47272727,0.075,7.954134945282936,5.477163922932208,7.926128535641882,5.461615084729051
14,0.26145999999999997,1.4949700000000001,0.726,0,25,./qmult1/,9.978798853783994,2.541725765588142,4.622280586346857,0.47272727,0.075,10.063789179875474,2.5633577957521156,10.023968219034005,2.5545980692144403
15,0.34967,1.33461,0.721,0,25,./qmult1/,12.455491747973143,-4.762466239353542,-2.2788493432136283,0.47272727,0.075,12.575210615777012,-4.808216493305147,12.501725262556542,-4.785137612692872
2,22.67362,0.66677,0.6559999999999999,0,25,./qmult7/,9.166632530913423,5.3112636779211435,1.9435786323233186,0.47272727,0.075,9.245583407138078,5.356996022254449,9.207376260203437,5.3386720329613295
6,22.55721,0.62048,0.741,0,25,./qmult7/,5.226252100742708,1.798431981021356,5.060657185372066,0.47272727,0.075,5.264787392317882,1.8116927350881706,5.256331174197004,1.8093279091945194
8,22.27638,0.7227899999999999,0.743,0,25,./qmult7/,-7.395435177526459,1.801826381320915,5.211619706561661,0.47272727,0.075,-7.4530259713548,1.8158531983425603,-7.457013515174645,1.8157334820637276
12,22.4059,0.65525,0.6559999999999999,0,25,./qmult7/,-1.282393691626992,0.9930300784292987,-1.9177984293291317,0.47272727,0.075,-1.2913038147545794,0.9999297515277172,-1.2916392303875712,1.0000640388226916
13,22.2991,0.66674,0.742,0,25,./qmult7/,-5.686790655494019,-0.09412708700158964,3.444669053504666,0.47272727,0.075,-5.728874957416115,-0.09482622261176177,-5.732492860534164,-0.09496358363815098
17,22.45386,0.59717,0.748,0,25,./qmult7/,1.4615027187835672,-0.6202302818514861,3.4170303510996085,0.47272727,0.075,1.4716548252539878,-0.6245386085422415,1.471268575296864,-0.6244147653484408
3,14.772960000000001,0.11435,0.7190000000000001,0,25,./qmult5/,6.7942147847059475,3.485314424962899,4.947963904361319,0.47272727,0.075,6.847161376335541,3.512471370716321,6.829884140533922,3.5053119878705856
7,14.364510000000001,-0.02437,0.657,0,25,./qmult5/,-11.196029780247189,0.7110298929269409,-2.094643384026936,0.47272727,0.075,-11.294773322440568,0.7173095860636411,-11.295858946589991,0.7164933423963558
9,14.34419,-0.08793,0.657,0,25,./qmult5/,-12.499396354705528,-1.7795905324848371,-4.32217989392144,0.47272727,0.075,-12.616008086463554,-1.7961650925280637,-12.613453466794661,-1.7951239421989305
10,14.581879999999998,-0.0281,0.733,0,25,./qmult5/,-2.197612879210593,-1.0379506376223713,1.9396743664854519,0.47272727,0.075,-2.2129928217221786,-1.0452145683290908,-2.213908122701313,-1.0454837374741233
11,14.51883,-0.03288,0.747,0,25,./qmult5/,-4.85520876648456,-0.7740051989394519,3.2059410447690833,0.47272727,0.075,-4.890537623654799,-0.7796355620946005,-4.89357308884516,-0.7799470894069266
16,14.70766,0.06711,0.73,0,25,./qmult5/,3.734748022927276,2.000933456045201,4.431113025615083,0.47272727,0.075,3.7615703022319646,2.0153032288426376,3.75742732549708,2.0135853303191444
0,351.63229675699995,-1.89532442,0.732,0,25,./qmult14/,-9.3221927436972,-1.689798368899516,1.282404972264676,0.47272727,0.075,-9.399297180459596,-1.7037666332775319,-9.403011266944024,-1.7037745158195357
1,351.646688302,-1.91677546,0.732,0,25,./qmult14/,-8.71595571546094,-2.5953305828987903,0.4734997115922366,0.47272727,0.075,-8.787110814744318,-2.6165079529276123,-8.790921485087564,-2.616422306640889
