,RA,DEC,Z,B,R,x_deg,y_deg,x_mm,y_mm,flag,yline_mm,shift,slit_length,slit_width
2,22.67362,0.66677,0.6559999999999999,17.76,17.4,0.217269771270167,0.12588887364752724,9.166632530913423,5.3112636779211435,./qmult7/,1.9435786323233186,2.8039739110400053,0.47272727,0.075
6,22.55721,0.62048,0.741,20.03,19.42,0.12372229008726446,0.04257470152014239,5.226252100742708,1.798431981021356,./qmult7/,5.060657185372066,-3.4550694425600024,0.47272727,0.075
8,22.27638,0.7227899999999999,0.743,20.27,19.78,-0.17514575364271107,0.042672571919604455,-7.395435177526459,1.801826381320915,./qmult7/,5.211619706561661,-3.6023410508799896,0.47272727,0.075
12,22.4059,0.65525,0.6559999999999999,20.81,20.83,-0.03034563763950364,0.02349834619578622,-1.282393691626992,0.9930300784292987,./qmult7/,-1.9177984293291317,2.8039739110400053,0.47272727,0.075
13,22.2991,0.66674,0.742,20.87,20.57,-0.13462836184688293,-0.0022283527381477333,-5.686790655494019,-0.09412708700158964,./qmult7/,3.444669053504666,-3.528705246719996,0.47272727,0.075
17,22.45386,0.59717,0.748,21.78,21.82,0.03458388582976393,-0.014676656416737472,1.4615027187835672,-0.6202302818514861,./qmult7/,3.4170303510996085,-3.9705200716800126,0.47272727,0.075
