col0,RA,DEC,Z,fuv_mag,nuv_mag,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected
0,36.90472,0.80024,0.66,0.0,25.999,3.0,-0.0076018041440684865,6.242105424178426,3.064062578459976,0.47272727,0.075,-0.007658852874244504,6.28895011805969,-0.013082140903747083,6.284385624146178
1,37.05645,0.582092,0.70772,0.0,25.999,3.0,6.399531481434232,-2.9710806966651266,-1.6488117456911,0.47272727,0.075,6.448623261495552,-2.993872308914909,6.423295939127308,-2.9865019046903143
2,37.17138,0.51364,0.72,0.0,25.999,3.0,11.233829667570422,-5.851678860863696,-3.3259102258398725,0.47272727,0.075,11.339233838787202,-5.906583677725627,11.233594095304674,-5.868195812566038
3,37.03302,0.575821,0.707887,0.0,25.999,3.0,5.41098040477403,-3.236421742989455,-1.8730305780384027,0.47272727,0.075,5.451653529571109,-3.2607491985707853,5.433718168116229,-3.254269297912458
4,37.190205,0.551168,0.718309,0.0,25.999,3.0,12.026895833542607,-4.269366271168604,-2.0351149039538052,0.47272727,0.075,12.140195855745139,-4.309586066867263,12.025876606554558,-4.28047048177685
5,37.087275,0.687135,0.0,0.0,25.999,4.0,7.699660849396546,1.4646076842985074,-49.800880822767816,0.47272727,0.075,7.760107836329746,1.4761057389903574,7.723631664121413,1.471266834878948
6,36.741698,0.577516,0.0,0.0,25.999,4.0,-6.890759299342015,-3.163936112197901,-53.9349027555309,0.47272727,0.075,-6.9444378921714796,-3.188582980696315,-6.958919801040071,-3.1906809684268524
7,36.9792366027832,0.7565664052963257,0.64647305,22.907719,20.94621,1.0,3.1398986722650886,4.39817114490862,0.4209892720638866,0.47272727,0.075,3.1629909193064374,4.430517301651027,3.154810821053182,4.424717766886008
8,37.105995178222656,0.6618619561195374,0.6812083999999999,24.703726,22.774157000000002,1.0,8.48865328583425,0.3974955510733556,-0.5926333492049641,0.47272727,0.075,8.556705932855387,0.40068223140047055,8.511637018226736,0.39905217538297433
9,36.77247619628906,0.7182958722114563,0.6571321,24.642532,22.867582000000002,1.0,-5.5926514415392665,2.78116120245198,-0.23734254854070347,0.47272727,0.075,-5.634626412100637,2.802034872270247,-5.644897221251963,2.8034946148464135
