,DEC,RA,Z,flag,fuv_mag,nuv_mag,x_deg,y_deg,x_mm,y_mm,yline_mm,shift,slit_length,slit_width
0,0.80024,36.90472,0.66,3.0,0.0,0.0,-0.0001799830425430457,0.14779000000394849,-0.007601848260866493,6.2421278062058425,3.064062578459976,2.5094306943999896,0.47272727,0.075
1,0.582092,37.05645,0.70772,3.0,0.0,0.0,0.15154229326978166,-0.07035596389751704,6.399573897023847,-2.9711058236194985,-1.6488117456911,-1.0044698801152026,0.47272727,0.075
2,0.51364,37.17138,0.72,3.0,0.0,0.0,0.2664700739673149,-0.1388044448797864,11.234252614546893,-5.851929916875925,-3.3259102258398725,-1.9087175551999989,0.47272727,0.075
3,0.575821,37.03302,0.707887,3.0,0.0,0.0,0.12811364443379464,-0.07662756047981094,5.411004005610066,-3.236439323296702,-1.8730305780384027,-1.0167670594099099,0.47272727,0.075
4,0.551168,37.190205,0.718309,3.0,0.0,0.0,0.28529224480607074,-0.10127516709797327,12.027345994866934,-4.269556910680416,-2.0351149039538052,-1.7841994103654482,0.47272727,0.075
5,0.687135,37.087275,0.0,4.0,0.0,0.0,0.182361918356566,0.03468848062800334,7.699730956585167,1.4646257866519392,-49.800880822767816,51.10906144,0.47272727,0.075
6,0.577516,36.741698,0.0,4.0,0.0,0.0,-0.16319384915350252,-0.07493165732649539,-6.890818385680791,-3.1639699942935335,-53.9349027555309,51.10906144,0.47272727,0.075
7,0.7565664052963257,36.9792366027832,0.64647305,1.0,22.907719,20.94621,0.07433024490423132,0.10411704198486565,3.1399066021680584,4.398179878832587,0.4209892720638866,3.5054985354821158,0.47272727,0.075
8,0.6618619561195374,37.105995178222656,0.6812083999999999,1.0,24.703726,22.774157000000002,0.20108176385251683,0.009416032353148791,8.488752781914675,0.39750183856063254,-0.5926333492049641,0.9477331054530491,0.47272727,0.075
9,0.7182958722114563,36.77247619628906,0.6571321,1.0,24.642532,22.867582000000002,-0.13241348494557723,0.06584779050775046,-5.592674014716951,2.7811761547593195,-0.23734254854070347,2.7206108171504493,0.47272727,0.075
10,0.75667405128479,36.70478439331055,0.70081407,1.0,-999.0,23.037273000000003,-0.2000984868338797,0.1042286660244888,-8.444907163646025,4.398840902271346,4.42664357220989,-0.49594617109251976,0.47272727,0.075
11,0.6231023669242859,37.07239532470703,0.71886885,1.0,-999.0,23.273642000000002,0.16748544193137616,-0.029344970776758444,7.072658827364738,-1.2391940708974523,0.7187595718832891,-1.8254244153244275,0.47272727,0.075
12,0.5849729776382446,36.84962463378906,0.72126204,1.0,-999.0,23.433947,-0.05527252366672107,-0.06747675015820254,-2.3354058485615026,-2.851065710543445,-0.5430511149993249,-2.0016488854820795,0.47272727,0.075
13,0.6330221891403198,37.13665771484375,0.7289992,1.0,-999.0,23.534182,0.2317435834257347,-0.019422632649297018,9.779620713945203,-0.8196385753967778,1.8389097262106535,-2.5713808839966683,0.47272727,0.075
14,0.5631300210952759,37.01876068115234,0.6980975,1.0,-999.0,23.684166,0.1138553201270917,-0.08931886703546944,4.808962467655286,-3.772604378500705,-3.072505995224017,-0.29590935458559503,0.47272727,0.075
15,0.518297016620636,36.65468978881836,0.7450190999999999,1.0,-999.0,23.785372,-0.25020065961127136,-0.13414804148718767,-10.55106007493261,-5.657075592306337,-1.3080052340148018,-3.7510191030594564,0.47272727,0.075
16,0.6438819766044617,36.93180847167969,0.67195714,1.0,-999.0,23.967442000000002,0.02690677286946405,-0.008567952393217107,1.1370899076547105,-0.3620847525215407,-1.9520738287136952,1.6289570750463012,0.47272727,0.075
17,0.6724082231521606,36.99921417236328,0.7466789,1.0,-999.0,24.165781,0.09430768332492213,0.019959134055480623,3.984561243699143,0.8432864556884655,4.625943643183669,-3.873239810804216,0.47272727,0.075
18,0.7850176095962524,36.79732131958008,0.6696187,1.0,-999.0,24.273893,-0.10756887109633738,0.13256899317171023,-4.542443723992572,5.598154790427592,3.1983248889665115,1.8011499849262107,0.47272727,0.075
19,0.6128627061843872,36.949554443359375,0.7264729999999999,1.0,-999.0,24.32205,0.04465189948287788,-0.03958710769936972,1.8868630438314218,-1.672839260931276,0.8924432546539782,-2.3853621155276863,0.47272727,0.075
20,0.6712667942047119,36.67330551147461,0.65197057,1.0,-999.0,24.456196,-0.23157860674752498,0.0188222774737853,-9.772684543761041,0.7943055825833927,-2.390853815449322,3.100684229396432,0.47272727,0.075
22,0.5188197493553162,36.62408065795898,0.74777377,1.0,-999.0,24.656477,-0.2808085927816023,-0.13362401938457424,-11.836729202567232,-5.632560302896208,-1.0854008413789202,-3.953861443704893,0.47272727,0.075
23,0.6981238722801208,36.72706604003906,0.65767753,1.0,-999.0,24.820078,-0.17782081566250516,0.0456772346492115,-7.508146025939285,1.9286344319681772,-0.9578563959281423,2.680447640487482,0.47272727,0.075
24,0.5106904506683351,36.821380615234375,0.7205691,1.0,-999.0,25.142214000000003,-0.0835163227797105,-0.14175900678833067,-3.526942285439586,-5.9865642875879255,-3.3954272639334144,-1.9506236913474735,0.47272727,0.075
25,0.718389093875885,36.870201110839844,0.65308654,1.0,-999.0,25.18274,-0.03469618470390704,0.06593922560147816,-1.466083877763826,2.786255503063219,-0.5317923894005836,3.018508881027997,0.47272727,0.075
