col0,RA,DEC,Z,fuv_mag,nuv_mag,flag,x_mm,y_mm,yline_mm,slit_length,slit_width,coord_x,coord_y,x_mask_corrected,y_mask_corrected
24578,31.9741113,-5.877338,0.9886,-99.0,22.732,OVI,-10.315675874887198,-5.372622856759849,-5.72,0.4095,0.07604999999999999,-10.408435880749682,-5.420934235842938,-10.430288236212428,-5.422110007310235
24762,31.9538443,-5.798012,0.6554,-99.0,22.941,Lya,-11.168601467757734,-2.0276771199112784,-4.91,0.4095,0.07604999999999999,-11.267918011277843,-2.045708194214159,-11.291308976392115,-2.046991873077983
25285,31.9890415,-5.6858169,0.6448,-99.0,23.027,Lya,-9.69761634952174,2.7063293101006436,-0.96,0.4095,0.07604999999999999,-9.779726960238438,2.729244049604009,-9.800239164838702,2.730223771970628
25600,31.9309548,-5.626884,0.656,-99.0,23.318,Lya,-12.124363143092436,5.186213354112832,2.35,0.4095,0.07604999999999999,-12.240659787590657,5.23595940704913,-12.26122669405011,5.234890627508981
25633,32.1065928,-5.6187636,0.6963,-99.0,23.088,Lya,-4.765844298992474,5.541253833371377,5.67,0.4095,0.07604999999999999,-4.802670802619528,5.584072060655096,-4.812601368355291,5.584392953281189
26474,32.2586059,-5.7849853,0.6442,-99.0,-99.0,Lya,1.623110039325331,-1.4784731061587664,-5.18,0.4095,0.07604999999999999,1.6344382595813003,-1.4887918575578118,1.633788745994456,-1.4882034284672427
26558,32.1502586,-5.7586235,0.9099,-99.0,-99.0,OVI,-2.9321031108200555,-0.36457134342155073,-5.64,0.4095,0.07604999999999999,-2.9527438098045917,-0.36713776318018176,-2.9556938415976997,-0.3673629343350567
26647,32.469175,-5.7396005,0.6497,-99.0,22.888,Lya,10.460199758701778,0.43648627971980924,-2.86,0.4095,0.07604999999999999,10.550100052907448,0.4402376655316247,10.475613323450725,0.43775104769480183
26692,32.4359121,-5.7282388,0.6668,-99.0,23.495,Lya,9.06770039601797,0.9167860615867152,-1.13,0.4095,0.07604999999999999,9.141913180969505,0.9242893142156814,9.088798609336255,0.9203561323184569
26788,32.1746643,-5.7065021,0.6446,-99.0,24.261,Lya,-1.9062504977524444,1.8380091643824448,-1.84,0.4095,0.07604999999999999,-1.9196192256536984,1.8508993088978754,-1.9209809564044016,1.8514748428574337
26815,32.2166499,-5.6978863,0.6379,-99.0,24.073,Lya,-0.14086987813327456,2.202232672914516,-1.97,0.4095,0.07604999999999999,-0.14185316255744662,2.217604455117884,-0.14184391189787976,2.2175038500530273
26847,32.162534,-5.6914294,0.643,-99.0,23.138,Lya,-2.4161801612117317,2.474701933436038,-1.32,0.4095,0.07604999999999999,-2.4333091603752224,2.4922458103489484,-2.435844454163248,2.4930575176158682
26852,32.2284759,-5.6895905,0.6363,-99.0,24.466,Lya,0.3564024966108478,2.552727300401704,-1.73,0.4095,0.07604999999999999,0.3588999598893913,2.570615342021822,0.3586146145573289,2.570112901541384
26917,32.1240501,-5.6766783,0.6432,-99.0,24.181,Lya,-4.0335013796432975,3.0971190895266543,-0.68,0.4095,0.07604999999999999,-4.062958281420199,3.119737535443641,-4.069302089941103,3.1210403950052625
26954,32.1957408,-5.6692887,0.642,-99.0,23.355,Lya,-1.020015801453887,3.4102904904238884,-0.46,0.4095,0.07604999999999999,-1.027258105022267,3.434504192753603,-1.0286807853311628,3.4344982739747434
27002,32.1391437,-5.6582513,1.394,-99.0,23.842,LyC,-3.399075153997561,3.875618770406978,-1.99,0.4095,0.07604999999999999,-3.4239360698468086,3.9039651375067272,-3.4293790558116704,3.9049837982693805
27117,32.3368831,-5.6281332,0.6629,-99.0,23.336,Lya,4.912046724380449,5.145794321566988,2.82,0.4095,0.07604999999999999,4.949790270316696,5.18533395448427,4.930603827361628,5.173878624401049
