,DEC,RA,Z,flag,fuv_mag,nuv_mag,x_deg,y_deg,x_mm,y_mm,yline_mm,shift,slit_length,slit_width
0,0.202061,352.073503,0.74776,3.0,0.0,0.0,-0.26889533225599,-0.010386774746278004,-11.34189298170028,-0.4381098273775927,3.5611388436349354,-3.9528474786815933,0.47272727,0.075
1,0.106164,352.344871,0.74355,3.0,0.0,0.0,0.00247100000983071,-0.10628599990127059,0.10439573689521188,-4.490410860863469,-0.365443345289286,-3.6428407431679846,0.47272727,0.075
2,0.290982,352.58635,0.70495,3.0,0.0,0.0,0.24394708315368208,0.07853463747481759,10.29143176695053,3.313152395452539,3.7622165024478615,-0.8004987025920001,0.47272727,0.075
3,0.168072,352.597237,0.711,3.0,0.0,0.0,0.25483598000436397,-0.04437633755929687,10.750450337878455,-1.8720496732838974,-0.4275361718827093,-1.2459953177600014,0.47272727,0.075
4,0.208688,352.051178,0.748233,3.0,0.0,0.0,-0.29122006889361113,-0.0037593043009190377,-12.279482449599879,-0.15851349586317395,3.8459053943642654,-3.9876772140492642,0.47272727,0.075
5,0.185611,352.422107,0.0,4.0,17.556103,17.950548,0.07970659050188991,-0.02683882039488996,3.3678562274865924,-1.1340252774101673,-52.121213716327354,51.10906144,0.47272727,0.075
6,0.1900971382856369,352.2417297363281,0.7424795,1.0,-999.0,22.44256,-0.10066971724668854,-0.022352568287343604,-4.253208280856304,-0.9443766322018065,2.7210479948314625,-3.56401361481471,0.47272727,0.075
7,0.185110405087471,352.2629699707031,0.74342996,1.0,24.943863,22.621346,-0.07942962379491517,-0.02733941703448636,-3.356155035663596,-1.155177599598204,2.6029705998119574,-3.6340015012366265,0.47272727,0.075
8,0.2396279722452164,352.37286376953125,0.64324945,1.0,-999.0,22.984327,0.03046350652870186,0.027178006115943586,1.2873679546291676,1.1485248459961923,-2.717927181091383,3.742870913772293,0.47272727,0.075
9,0.09924089908599854,352.5201416015625,0.71084785,1.0,-999.0,23.075735,0.17774168189283038,-0.11320862339079651,7.5026642468194185,-4.778655642844092,-3.034560158742626,-1.2347916301570574,0.47272727,0.075
10,0.3055605888366699,352.17352294921875,0.6364599,1.0,24.258598000000003,23.325499,-0.16887487223499276,0.09311191609875115,-7.129758646308813,3.9311087558110462,-0.7313651275331425,4.242824887906822,0.47272727,0.075
12,0.1250244528055191,352.20465087890625,0.7484036000000001,1.0,-999.0,23.850607,-0.1377489535020391,-0.08742518587028711,-5.817287702121263,-3.6920604163526964,0.7032391079676632,-4.000239482238989,0.47272727,0.075
14,0.2891823947429657,352.15521240234375,0.73857456,1.0,-999.0,24.123158,-0.18718538130546702,0.07673393802495032,-7.902025970294759,3.239321184417923,6.1702795916317354,-3.2764702177181553,0.47272727,0.075
15,0.20661991834640506,352.2974548339844,0.73823524,1.0,-999.0,24.21955,-0.04494487400013173,-0.005830018082564784,-1.8993210268441558,-0.24637016294815928,3.0316210233224887,-3.2514841166505803,0.47272727,0.075
16,0.2851630747318268,352.3210754394531,0.74105716,1.0,-999.0,24.23074,-0.0213243136055561,0.07271309448200691,-0.9010521627524058,3.0724689317250244,6.2014527863482485,-3.4592784651257764,0.47272727,0.075
17,0.2903749048709869,352.13177490234375,0.7399318,1.0,-999.0,24.253574,-0.2106225875435701,0.0779268668712805,-8.8891746696263,3.2888473128848634,6.315209080105465,-3.3764116765562924,0.47272727,0.075
18,0.10724475234746933,352.5700988769531,0.7379746,1.0,25.51215,24.416393,0.22769886191400773,-0.10520440076758872,9.606672538354848,-4.438600260328739,-0.7352028720065591,-3.232291680654338,0.47272727,0.075
19,0.14366178214550018,352.2776794433594,0.7381048000000001,1.0,-999.0,24.582674,-0.06472039983807261,-0.06878812620103497,-2.7345064649143693,-2.9063722763873048,0.6477241220767533,-3.241879062355986,0.47272727,0.075
20,0.12818501889705658,352.11602783203125,0.74336976,1.0,-999.0,24.714668,-0.2263718462452698,-0.08426398062055754,-9.55184795784135,-3.555551383973722,0.45178441092306665,-3.62956862582619,0.47272727,0.075
21,0.2728495001792908,352.43896484375,0.667039,1.0,-999.0,24.842932,0.09656380246667079,0.060399887686631896,4.079481330972742,2.5516830107794357,0.2867073322321574,1.9911082689177613,0.47272727,0.075
22,0.19501684606075287,352.3902587890625,0.73125255,1.0,-999.0,25.417028,0.047858514054145124,-0.017433085906649805,2.022418516318106,-0.736692236083312,2.0798672475762183,-2.7373081233006022,0.47272727,0.075
23,0.07097799330949782,352.4061279296875,0.7414168000000001,1.0,-999.0,25.499119,0.06372807505386165,-0.14147196278612142,2.6914883591534644,-5.97491985539527,-1.849465034675306,-3.4857608457339038,0.47272727,0.075
24,0.3346569538116455,352.6260681152344,0.7019126,1.0,-999.0,25.671764000000003,0.2836639217103852,0.12221105528785911,11.95750437284095,5.1516570003078455,5.185691052817336,-0.5768373110364158,0.47272727,0.075
25,0.2510914206504822,352.482666015625,1.0142792,2.0,-999.0,23.618528,0.14026470060748802,0.03864217306481303,5.924392456646402,1.6321383614130895,2.7138403165536547,-1.2565570658623224,0.47272727,0.075
